load_zone,stage_id,timepoint,load_mw
CAISO,1,20203311,24449.79939
CAISO,1,20203312,24495.98858
CAISO,1,20203313,24328.06651
CAISO,1,20203314,24126.08006
CAISO,1,20203315,23881.61074
CAISO,1,20203316,23611.5173
CAISO,1,20203317,23700.83615
CAISO,1,20203318,23936.47486
CAISO,1,20203319,25006.20582
CAISO,1,20203320,26829.80123
CAISO,1,20203321,26684.11861
CAISO,1,20203322,25221.94255
CAISO,1,20203323,23523.02533
CAISO,1,20203324,22121.46103
CAISO,1,20203401,21700.95662
CAISO,1,20203402,20944.24363
CAISO,1,20203403,20760.93133
CAISO,1,20203404,20662.76884
CAISO,1,20203405,20894.43856
CAISO,1,20203406,20935.3475
CAISO,1,20203407,21456.73093
CAISO,1,20203408,22743.16461
CAISO,1,20203409,23730.58382
CAISO,1,20203410,24304.24599
CAISO,1,20203411,24449.79939
CAISO,1,20203412,24495.98858
CAISO,1,20203413,24328.06651
CAISO,1,20203414,24126.08006
CAISO,1,20203415,23881.61074
CAISO,1,20203416,23611.5173
CAISO,1,20203417,23700.83615
CAISO,1,20203418,23936.47486
CAISO,1,20203419,25006.20582
CAISO,1,20203420,26829.80123
CAISO,1,20203421,26684.11861
CAISO,1,20203422,25221.94255
CAISO,1,20203423,23523.02533
CAISO,1,20203424,22121.46103
CAISO,1,20203501,24630.87399
CAISO,1,20203502,23631.99919
CAISO,1,20203503,23179.89455
